valuation_date,contract_name,price_TRY_MWh,delivery_year,delivery_month,delivery_month_label,quote_type,source
2022-01-03,EBM0222,1325.7,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-03,EBM0322,1291.62,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-03,EBM0422,1052.36,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-03,EBM0522,1042.0,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-03,EBM0622,1124.9,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-03,EBM0722,1250.2,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0222,1325.7,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0322,1291.62,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0422,1052.36,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0522,1042.0,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0622,1124.9,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-04,EBM0722,1250.2,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0222,1224.2,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0322,1216.4,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0422,1098.37,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0522,1094.31,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0622,1148.49,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-05,EBM0722,1264.2,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
