month,day_type,hour,shape
1,0,0,0.9751278296179526
1,0,1,0.9156689325624237
1,0,2,0.8333140982601558
1,0,3,0.8013316411963851
1,0,4,0.7920846923178556
1,0,5,0.8390544991294296
1,0,6,0.960211238902939
1,0,7,1.0426495049971305
1,0,8,1.1723821311613614
1,0,9,1.2057794241101478
1,0,10,1.175205457636663
1,0,11,1.0866495679922088
1,0,12,0.9458077753861082
1,0,13,0.9517315165397978
1,0,14,1.0042666178670039
1,0,15,1.0802196190125437
1,0,16,1.1429097390451008
1,0,17,1.1649643637046563
1,0,18,1.1679579563043387
1,0,19,1.1078608892654596
1,0,20,1.0592978125881667
1,0,21,1.0712195709998529
1,0,22,0.9669244796968367
1,0,23,0.9300881089711363
1,1,0,0.9859592180788102
1,1,1,0.935188812251216
1,1,2,0.9119353649497812
1,1,3,0.8639544502498001
1,1,4,0.8580492927143022
1,1,5,0.8757644469092909
1,1,6,0.9841208633944067
1,1,7,1.0800495783193313
1,1,8,1.198199827256057
1,1,9,1.1554797463791129
1,1,10,1.047884085794346
1,1,11,1.0263043175528253
1,1,12,0.8758167179719424
1,1,13,0.8725109755189415
1,1,14,0.9090158684697915
1,1,15,0.9300458377541228
1,1,16,1.0113885187482459
1,1,17,1.1576813454236288
1,1,18,1.183794816764912
1,1,19,1.13734210144851
1,1,20,1.079859051018548
1,1,21,1.1077273988045815
1,1,22,0.9587451203439376
1,1,23,0.8987701158947786
1,2,0,0.9741706267382628
1,2,1,0.9045223758487839
1,2,2,0.8393749977621681
1,2,3,0.8426882003598507
1,2,4,0.8277126489040387
1,2,5,0.8541513616754617
1,2,6,1.0309182834061414
1,2,7,1.1119931931659304
1,2,8,1.0182027458580643
1,2,9,0.881227106046506
1,2,10,0.8112895283435909
1,2,11,0.742571905756904
1,2,12,0.6759951771493948
1,2,13,0.7984019105670428
1,2,14,0.8032820813916628
1,2,15,0.8343008230667829
1,2,16,1.0727792005480035
1,2,17,1.1515842323759429
1,2,18,1.1599599204999471
1,2,19,1.12668892102243
1,2,20,1.0582449872782462
1,2,21,1.0681135607337242
1,2,22,0.8786860469951889
1,2,23,0.8381809299789525
2,0,0,1.0204935390210146
2,0,1,0.9578914383406525
2,0,2,0.8746997134528562
2,0,3,0.8244262214374286
2,0,4,0.8275556344865137
2,0,5,0.9005447397179562
2,0,6,0.98303195306307
2,0,7,1.0253859630015492
2,0,8,1.201889556915387
2,0,9,1.1895242742099252
2,0,10,1.1197486051772794
2,0,11,1.0469282030078637
2,0,12,0.8911008299073975
2,0,13,0.8668611122660413
2,0,14,0.9370779244054545
2,0,15,0.9976699219977478
2,0,16,1.090411760651248
2,0,17,1.186234708349518
2,0,18,1.213816304073917
2,0,19,1.158178997389106
2,0,20,1.1234835821673177
2,0,21,1.1201392097111593
2,0,22,0.9996305996535328
2,0,23,0.9663742259957907
2,1,0,1.0519126518906767
2,1,1,1.0140785897513394
2,1,2,0.9874159558361211
2,1,3,0.9450672397046709
2,1,4,0.9474488444481126
2,1,5,0.9847652473207344
2,1,6,1.0540209498682414
2,1,7,1.0414075028435537
2,1,8,1.0787496354040598
2,1,9,1.04302185810067
2,1,10,0.9157284861299086
2,1,11,0.8835002958709739
2,1,12,0.7706445573173967
2,1,13,0.7511904482267358
2,1,14,0.7336125039844525
2,1,15,0.7731521223988401
2,1,16,0.8463041669818399
2,1,17,1.1311397506945302
2,1,18,1.23069115818917
2,1,19,1.2053760061742709
2,1,20,1.1766575385073186
2,1,21,1.1647240114268793
2,1,22,1.016122146093971
2,1,23,0.9731029139184081
2,2,0,1.025250352458562
2,2,1,0.9706905323178048
2,2,2,0.8975111254230747
2,2,3,0.8908059699881375
2,2,4,0.8850326989161075
2,2,5,0.9283427583911324
2,2,6,1.082385678758182
2,2,7,1.1058017074045505
2,2,8,0.9185762933171792
