time_utc,time_turkey,delivery_month,contract_name,hourly_forward_TRY_MWh,source,interpolation_flag,extrapolation_flag,near_term_anchor_flag
2025-12-31T20:00:00+00:00,2025-12-31T23:00:00+03:00,2025-12,,2900.99000000224,near_term_anchor:flat_next_month,True,True,True
2025-12-31T21:00:00+00:00,2026-01-01T00:00:00+03:00,2026-01,,2900.9900000020675,near_term_anchor:flat_next_month,True,True,True
2025-12-31T22:00:00+00:00,2026-01-01T01:00:00+03:00,2026-01,,2900.990000001896,near_term_anchor:flat_next_month,True,True,True
2025-12-31T23:00:00+00:00,2026-01-01T02:00:00+03:00,2026-01,,2900.9900000017287,near_term_anchor:flat_next_month,True,True,True
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+03:00,2026-01,,2900.990000001567,near_term_anchor:flat_next_month,True,True,True
2026-01-01T01:00:00+00:00,2026-01-01T04:00:00+03:00,2026-01,,2900.9900000014113,near_term_anchor:flat_next_month,True,True,True
2026-01-01T02:00:00+00:00,2026-01-01T05:00:00+03:00,2026-01,,2900.9900000012626,near_term_anchor:flat_next_month,True,True,True
2026-01-01T03:00:00+00:00,2026-01-01T06:00:00+03:00,2026-01,,2900.990000001121,near_term_anchor:flat_next_month,True,True,True
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+03:00,2026-01,,2900.9900000009884,near_term_anchor:flat_next_month,True,True,True
2026-01-01T05:00:00+00:00,2026-01-01T08:00:00+03:00,2026-01,,2900.9900000008647,near_term_anchor:flat_next_month,True,True,True
2026-01-01T06:00:00+00:00,2026-01-01T09:00:00+03:00,2026-01,,2900.990000000751,near_term_anchor:flat_next_month,True,True,True
2026-01-01T07:00:00+00:00,2026-01-01T10:00:00+03:00,2026-01,,2900.9900000006483,near_term_anchor:flat_next_month,True,True,True
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+03:00,2026-01,,2900.9900000005564,near_term_anchor:flat_next_month,True,True,True
2026-01-01T09:00:00+00:00,2026-01-01T12:00:00+03:00,2026-01,,2900.9900000004764,near_term_anchor:flat_next_month,True,True,True
2026-01-01T10:00:00+00:00,2026-01-01T13:00:00+03:00,2026-01,,2900.990000000407,near_term_anchor:flat_next_month,True,True,True
2026-01-01T11:00:00+00:00,2026-01-01T14:00:00+03:00,2026-01,,2900.9900000003477,near_term_anchor:flat_next_month,True,True,True
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+03:00,2026-01,,2900.9900000002986,near_term_anchor:flat_next_month,True,True,True
2026-01-01T13:00:00+00:00,2026-01-01T16:00:00+03:00,2026-01,,2900.99000000026,near_term_anchor:flat_next_month,True,True,True
2026-01-01T14:00:00+00:00,2026-01-01T17:00:00+03:00,2026-01,,2900.9900000002317,near_term_anchor:flat_next_month,True,True,True
2026-01-01T15:00:00+00:00,2026-01-01T18:00:00+03:00,2026-01,,2900.9900000002144,near_term_anchor:flat_next_month,True,True,True
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+03:00,2026-01,,2900.9900000002076,near_term_anchor:flat_next_month,True,True,True
2026-01-01T17:00:00+00:00,2026-01-01T20:00:00+03:00,2026-01,,2900.990000000211,near_term_anchor:flat_next_month,True,True,True
2026-01-01T18:00:00+00:00,2026-01-01T21:00:00+03:00,2026-01,,2900.9900000002235,near_term_anchor:flat_next_month,True,True,True
2026-01-01T19:00:00+00:00,2026-01-01T22:00:00+03:00,2026-01,,2900.990000000245,near_term_anchor:flat_next_month,True,True,True
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+03:00,2026-01,,2900.990000000276,near_term_anchor:flat_next_month,True,True,True
2026-01-01T21:00:00+00:00,2026-01-02T00:00:00+03:00,2026-01,,2900.9900000003167,near_term_anchor:flat_next_month,True,True,True
2026-01-01T22:00:00+00:00,2026-01-02T01:00:00+03:00,2026-01,,2900.9900000003686,near_term_anchor:flat_next_month,True,True,True
2026-01-01T23:00:00+00:00,2026-01-02T02:00:00+03:00,2026-01,,2900.9900000004304,near_term_anchor:flat_next_month,True,True,True
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+03:00,2026-01,,2900.990000000502,near_term_anchor:flat_next_month,True,True,True
2026-01-02T01:00:00+00:00,2026-01-02T04:00:00+03:00,2026-01,,2900.990000000581,near_term_anchor:flat_next_month,True,True,True
2026-01-02T02:00:00+00:00,2026-01-02T05:00:00+03:00,2026-01,,2900.9900000006646,near_term_anchor:flat_next_month,True,True,True
2026-01-02T03:00:00+00:00,2026-01-02T06:00:00+03:00,2026-01,,2900.9900000007524,near_term_anchor:flat_next_month,True,True,True
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+03:00,2026-01,,2900.9900000008442,near_term_anchor:flat_next_month,True,True,True
2026-01-02T05:00:00+00:00,2026-01-02T08:00:00+03:00,2026-01,,2900.99000000094,near_term_anchor:flat_next_month,True,True,True
2026-01-02T06:00:00+00:00,2026-01-02T09:00:00+03:00,2026-01,,2900.99000000104,near_term_anchor:flat_next_month,True,True,True
2026-01-02T07:00:00+00:00,2026-01-02T10:00:00+03:00,2026-01,,2900.9900000011426,near_term_anchor:flat_next_month,True,True,True
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+03:00,2026-01,,2900.990000001248,near_term_anchor:flat_next_month,True,True,True
2026-01-02T09:00:00+00:00,2026-01-02T12:00:00+03:00,2026-01,,2900.990000001356,near_term_anchor:flat_next_month,True,True,True
2026-01-02T10:00:00+00:00,2026-01-02T13:00:00+03:00,2026-01,,2900.990000001464,near_term_anchor:flat_next_month,True,True,True
2026-01-02T11:00:00+00:00,2026-01-02T14:00:00+03:00,2026-01,,2900.9900000015714,near_term_anchor:flat_next_month,True,True,True
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+03:00,2026-01,,2900.990000001675,near_term_anchor:flat_next_month,True,True,True
2026-01-02T13:00:00+00:00,2026-01-02T16:00:00+03:00,2026-01,,2900.990000001773,near_term_anchor:flat_next_month,True,True,True
2026-01-02T14:00:00+00:00,2026-01-02T17:00:00+03:00,2026-01,,2900.9900000018624,near_term_anchor:flat_next_month,True,True,True
2026-01-02T15:00:00+00:00,2026-01-02T18:00:00+03:00,2026-01,,2900.9900000019416,near_term_anchor:flat_next_month,True,True,True
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+03:00,2026-01,,2900.9900000020098,near_term_anchor:flat_next_month,True,True,True
2026-01-02T17:00:00+00:00,2026-01-02T20:00:00+03:00,2026-01,,2900.9900000020666,near_term_anchor:flat_next_month,True,True,True
2026-01-02T18:00:00+00:00,2026-01-02T21:00:00+03:00,2026-01,,2900.990000002112,near_term_anchor:flat_next_month,True,True,True
2026-01-02T19:00:00+00:00,2026-01-02T22:00:00+03:00,2026-01,,2900.9900000021444,near_term_anchor:flat_next_month,True,True,True
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+03:00,2026-01,,2900.990000002165,near_term_anchor:flat_next_month,True,True,True
2026-01-02T21:00:00+00:00,2026-01-03T00:00:00+03:00,2026-01,,2900.9900000021717,near_term_anchor:flat_next_month,True,True,True
2026-01-02T22:00:00+00:00,2026-01-03T01:00:00+03:00,2026-01,,2900.990000002164,near_term_anchor:flat_next_month,True,True,True
2026-01-02T23:00:00+00:00,2026-01-03T02:00:00+03:00,2026-01,,2900.990000002141,near_term_anchor:flat_next_month,True,True,True
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+03:00,2026-01,,2900.9900000021025,near_term_anchor:flat_next_month,True,True,True
2026-01-03T01:00:00+00:00,2026-01-03T04:00:00+03:00,2026-01,,2900.9900000020475,near_term_anchor:flat_next_month,True,True,True
2026-01-03T02:00:00+00:00,2026-01-03T05:00:00+03:00,2026-01,,2900.9900000019757,near_term_anchor:flat_next_month,True,True,True
2026-01-03T03:00:00+00:00,2026-01-03T06:00:00+03:00,2026-01,,2900.990000001885,near_term_anchor:flat_next_month,True,True,True
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+03:00,2026-01,,2900.9900000017747,near_term_anchor:flat_next_month,True,True,True
2026-01-03T05:00:00+00:00,2026-01-03T08:00:00+03:00,2026-01,,2900.9900000016473,near_term_anchor:flat_next_month,True,True,True
2026-01-03T06:00:00+00:00,2026-01-03T09:00:00+03:00,2026-01,,2900.990000001506,near_term_anchor:flat_next_month,True,True,True
2026-01-03T07:00:00+00:00,2026-01-03T10:00:00+03:00,2026-01,,2900.9900000013536,near_term_anchor:flat_next_month,True,True,True
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+03:00,2026-01,,2900.990000001195,near_term_anchor:flat_next_month,True,True,True
2026-01-03T09:00:00+00:00,2026-01-03T12:00:00+03:00,2026-01,,2900.9900000010316,near_term_anchor:flat_next_month,True,True,True
2026-01-03T10:00:00+00:00,2026-01-03T13:00:00+03:00,2026-01,,2900.990000000866,near_term_anchor:flat_next_month,True,True,True
2026-01-03T11:00:00+00:00,2026-01-03T14:00:00+03:00,2026-01,,2900.9900000006996,near_term_anchor:flat_next_month,True,True,True
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+03:00,2026-01,,2900.990000000534,near_term_anchor:flat_next_month,True,True,True
2026-01-03T13:00:00+00:00,2026-01-03T16:00:00+03:00,2026-01,,2900.990000000372,near_term_anchor:flat_next_month,True,True,True
2026-01-03T14:00:00+00:00,2026-01-03T17:00:00+03:00,2026-01,,2900.9900000002144,near_term_anchor:flat_next_month,True,True,True
2026-01-03T15:00:00+00:00,2026-01-03T18:00:00+03:00,2026-01,,2900.9900000000616,near_term_anchor:flat_next_month,True,True,True
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+03:00,2026-01,,2900.9899999999134,near_term_anchor:flat_next_month,True,True,True
2026-01-03T17:00:00+00:00,2026-01-03T20:00:00+03:00,2026-01,,2900.9899999997688,near_term_anchor:flat_next_month,True,True,True
2026-01-03T18:00:00+00:00,2026-01-03T21:00:00+03:00,2026-01,,2900.9899999996273,near_term_anchor:flat_next_month,True,True,True
2026-01-03T19:00:00+00:00,2026-01-03T22:00:00+03:00,2026-01,,2900.989999999492,near_term_anchor:flat_next_month,True,True,True
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+03:00,2026-01,,2900.989999999362,near_term_anchor:flat_next_month,True,True,True
2026-01-03T21:00:00+00:00,2026-01-04T00:00:00+03:00,2026-01,,2900.9899999992394,near_term_anchor:flat_next_month,True,True,True
2026-01-03T22:00:00+00:00,2026-01-04T01:00:00+03:00,2026-01,,2900.989999999124,near_term_anchor:flat_next_month,True,True,True
2026-01-03T23:00:00+00:00,2026-01-04T02:00:00+03:00,2026-01,,2900.9899999990166,near_term_anchor:flat_next_month,True,True,True
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+03:00,2026-01,,2900.9899999989193,near_term_anchor:flat_next_month,True,True,True
2026-01-04T01:00:00+00:00,2026-01-04T04:00:00+03:00,2026-01,,2900.989999998834,near_term_anchor:flat_next_month,True,True,True
2026-01-04T02:00:00+00:00,2026-01-04T05:00:00+03:00,2026-01,,2900.9899999987615,near_term_anchor:flat_next_month,True,True,True
2026-01-04T03:00:00+00:00,2026-01-04T06:00:00+03:00,2026-01,,2900.989999998701,near_term_anchor:flat_next_month,True,True,True
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+03:00,2026-01,,2900.9899999986515,near_term_anchor:flat_next_month,True,True,True
2026-01-04T05:00:00+00:00,2026-01-04T08:00:00+03:00,2026-01,,2900.989999998613,near_term_anchor:flat_next_month,True,True,True
2026-01-04T06:00:00+00:00,2026-01-04T09:00:00+03:00,2026-01,,2900.9899999985864,near_term_anchor:flat_next_month,True,True,True
2026-01-04T07:00:00+00:00,2026-01-04T10:00:00+03:00,2026-01,,2900.9899999985732,near_term_anchor:flat_next_month,True,True,True
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+03:00,2026-01,,2900.9899999985737,near_term_anchor:flat_next_month,True,True,True
2026-01-04T09:00:00+00:00,2026-01-04T12:00:00+03:00,2026-01,,2900.9899999985873,near_term_anchor:flat_next_month,True,True,True
2026-01-04T10:00:00+00:00,2026-01-04T13:00:00+03:00,2026-01,,2900.989999998616,near_term_anchor:flat_next_month,True,True,True
2026-01-04T11:00:00+00:00,2026-01-04T14:00:00+03:00,2026-01,,2900.98999999866,near_term_anchor:flat_next_month,True,True,True
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+03:00,2026-01,,2900.9899999987188,near_term_anchor:flat_next_month,True,True,True
2026-01-04T13:00:00+00:00,2026-01-04T16:00:00+03:00,2026-01,,2900.9899999987897,near_term_anchor:flat_next_month,True,True,True
2026-01-04T14:00:00+00:00,2026-01-04T17:00:00+03:00,2026-01,,2900.9899999988684,near_term_anchor:flat_next_month,True,True,True
2026-01-04T15:00:00+00:00,2026-01-04T18:00:00+03:00,2026-01,,2900.9899999989507,near_term_anchor:flat_next_month,True,True,True
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+03:00,2026-01,,2900.9899999990334,near_term_anchor:flat_next_month,True,True,True
2026-01-04T17:00:00+00:00,2026-01-04T20:00:00+03:00,2026-01,,2900.9899999991126,near_term_anchor:flat_next_month,True,True,True
2026-01-04T18:00:00+00:00,2026-01-04T21:00:00+03:00,2026-01,,2900.989999999187,near_term_anchor:flat_next_month,True,True,True
2026-01-04T19:00:00+00:00,2026-01-04T22:00:00+03:00,2026-01,,2900.9899999992545,near_term_anchor:flat_next_month,True,True,True
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+03:00,2026-01,,2900.989999999312,near_term_anchor:flat_next_month,True,True,True
2026-01-04T21:00:00+00:00,2026-01-05T00:00:00+03:00,2026-01,,2900.9899999993604,near_term_anchor:flat_next_month,True,True,True
2026-01-04T22:00:00+00:00,2026-01-05T01:00:00+03:00,2026-01,,2900.9899999993977,near_term_anchor:flat_next_month,True,True,True
2026-01-04T23:00:00+00:00,2026-01-05T02:00:00+03:00,2026-01,,2900.989999999423,near_term_anchor:flat_next_month,True,True,True
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+03:00,2026-01,,2900.9899999994377,near_term_anchor:flat_next_month,True,True,True
2026-01-05T01:00:00+00:00,2026-01-05T04:00:00+03:00,2026-01,,2900.9899999994414,near_term_anchor:flat_next_month,True,True,True
2026-01-05T02:00:00+00:00,2026-01-05T05:00:00+03:00,2026-01,,2900.989999999434,near_term_anchor:flat_next_month,True,True,True
2026-01-05T03:00:00+00:00,2026-01-05T06:00:00+03:00,2026-01,,2900.989999999418,near_term_anchor:flat_next_month,True,True,True
2026-01-05T04:00:00+00:00,2026-01-05T07:00:00+03:00,2026-01,,2900.9899999993954,near_term_anchor:flat_next_month,True,True,True
2026-01-05T05:00:00+00:00,2026-01-05T08:00:00+03:00,2026-01,,2900.989999999368,near_term_anchor:flat_next_month,True,True,True
2026-01-05T06:00:00+00:00,2026-01-05T09:00:00+03:00,2026-01,,2900.989999999338,near_term_anchor:flat_next_month,True,True,True
2026-01-05T07:00:00+00:00,2026-01-05T10:00:00+03:00,2026-01,,2900.9899999993054,near_term_anchor:flat_next_month,True,True,True
2026-01-05T08:00:00+00:00,2026-01-05T11:00:00+03:00,2026-01,,2900.9899999992704,near_term_anchor:flat_next_month,True,True,True
2026-01-05T09:00:00+00:00,2026-01-05T12:00:00+03:00,2026-01,,2900.9899999992344,near_term_anchor:flat_next_month,True,True,True
2026-01-05T10:00:00+00:00,2026-01-05T13:00:00+03:00,2026-01,,2900.989999999198,near_term_anchor:flat_next_month,True,True,True
2026-01-05T11:00:00+00:00,2026-01-05T14:00:00+03:00,2026-01,,2900.9899999991617,near_term_anchor:flat_next_month,True,True,True
2026-01-05T12:00:00+00:00,2026-01-05T15:00:00+03:00,2026-01,,2900.9899999991258,near_term_anchor:flat_next_month,True,True,True
