time_utc_from,time_utc_to,month_from,month_to,F_prev_TRY_MWh,F_next_TRY_MWh,delta_TRY_MWh,is_month_boundary
2026-02-28T04:00:00+00:00,2026-02-28T05:00:00+00:00,2026-02,2026-02,2881.4959912705635,2876.222207794437,-5.273783476126482,False
2026-02-28T05:00:00+00:00,2026-02-28T06:00:00+00:00,2026-02,2026-02,2876.222207794437,2870.4315281069667,-5.790679687470401,False
2026-02-28T06:00:00+00:00,2026-02-28T07:00:00+00:00,2026-02,2026-02,2870.4315281069667,2864.107546999492,-6.323981107474538,False
2026-02-28T07:00:00+00:00,2026-02-28T08:00:00+00:00,2026-02,2026-02,2864.107546999492,2857.2370899733924,-6.870457026099757,False
2026-02-28T08:00:00+00:00,2026-02-28T09:00:00+00:00,2026-02,2026-02,2857.2370899733924,2849.810845638195,-7.426244335197225,False
2026-02-28T09:00:00+00:00,2026-02-28T10:00:00+00:00,2026-02,2026-02,2849.810845638195,2841.824052757282,-7.986792880913072,False
2026-02-28T10:00:00+00:00,2026-02-28T11:00:00+00:00,2026-02,2026-02,2841.824052757282,2833.277242872325,-8.546809884956929,False
2026-02-28T11:00:00+00:00,2026-02-28T12:00:00+00:00,2026-02,2026-02,2833.277242872325,2824.177038982572,-9.100203889753175,False
2026-02-28T12:00:00+00:00,2026-02-28T13:00:00+00:00,2026-02,2026-02,2824.177038982572,2814.537010225835,-9.640028756737138,False
2026-02-28T13:00:00+00:00,2026-02-28T14:00:00+00:00,2026-02,2026-02,2814.537010225835,2804.3785818988795,-10.158428326955345,False
2026-02-28T14:00:00+00:00,2026-02-28T15:00:00+00:00,2026-02,2026-02,2804.3785818988795,2793.7319994602963,-10.64658243858321,False
2026-02-28T15:00:00+00:00,2026-02-28T16:00:00+00:00,2026-02,2026-02,2793.7319994602963,2782.637344373223,-11.094655087073079,False
2026-02-28T16:00:00+00:00,2026-02-28T17:00:00+00:00,2026-02,2026-02,2782.637344373223,2771.1455987638988,-11.491745609324425,False
2026-02-28T17:00:00+00:00,2026-02-28T18:00:00+00:00,2026-02,2026-02,2771.1455987638988,2759.319754886978,-11.825843876920771,False
