time_utc,time_turkey,delivery_month,contract_name,hourly_forward_TRY_MWh,source,interpolation_flag,extrapolation_flag,near_term_anchor_flag
2025-12-31T20:00:00+00:00,2025-12-31T23:00:00+03:00,2025-12,,2917.78,near_term_anchor:spot_to_next_linear,True,True,True
2025-12-31T21:00:00+00:00,2026-01-01T00:00:00+03:00,2026-01,,2917.7574630870085,near_term_anchor:spot_to_next_linear,True,True,True
2025-12-31T22:00:00+00:00,2026-01-01T01:00:00+03:00,2026-01,,2917.7349261740246,near_term_anchor:spot_to_next_linear,True,True,True
2025-12-31T23:00:00+00:00,2026-01-01T02:00:00+03:00,2026-01,,2917.7123892610575,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T00:00:00+00:00,2026-01-01T03:00:00+03:00,2026-01,,2917.689852348108,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T01:00:00+00:00,2026-01-01T04:00:00+03:00,2026-01,,2917.6673154351797,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T02:00:00+00:00,2026-01-01T05:00:00+03:00,2026-01,,2917.6447785222726,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T03:00:00+00:00,2026-01-01T06:00:00+03:00,2026-01,,2917.6222416093874,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T04:00:00+00:00,2026-01-01T07:00:00+03:00,2026-01,,2917.5997046965217,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T05:00:00+00:00,2026-01-01T08:00:00+03:00,2026-01,,2917.577167783674,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T06:00:00+00:00,2026-01-01T09:00:00+03:00,2026-01,,2917.5546308708435,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T07:00:00+00:00,2026-01-01T10:00:00+03:00,2026-01,,2917.5320939580315,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T08:00:00+00:00,2026-01-01T11:00:00+03:00,2026-01,,2917.5095570452368,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T09:00:00+00:00,2026-01-01T12:00:00+03:00,2026-01,,2917.4870201324566,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T10:00:00+00:00,2026-01-01T13:00:00+03:00,2026-01,,2917.4644832196886,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T11:00:00+00:00,2026-01-01T14:00:00+03:00,2026-01,,2917.441946306931,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T12:00:00+00:00,2026-01-01T15:00:00+03:00,2026-01,,2917.4194093941824,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T13:00:00+00:00,2026-01-01T16:00:00+03:00,2026-01,,2917.3968724814413,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T14:00:00+00:00,2026-01-01T17:00:00+03:00,2026-01,,2917.3743355687066,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T15:00:00+00:00,2026-01-01T18:00:00+03:00,2026-01,,2917.351798655975,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T16:00:00+00:00,2026-01-01T19:00:00+03:00,2026-01,,2917.3292617432444,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T17:00:00+00:00,2026-01-01T20:00:00+03:00,2026-01,,2917.3067248305133,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T18:00:00+00:00,2026-01-01T21:00:00+03:00,2026-01,,2917.2841879177818,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T19:00:00+00:00,2026-01-01T22:00:00+03:00,2026-01,,2917.261651005051,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T20:00:00+00:00,2026-01-01T23:00:00+03:00,2026-01,,2917.239114092322,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T21:00:00+00:00,2026-01-02T00:00:00+03:00,2026-01,,2917.216577179595,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T22:00:00+00:00,2026-01-02T01:00:00+03:00,2026-01,,2917.194040266869,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-01T23:00:00+00:00,2026-01-02T02:00:00+03:00,2026-01,,2917.1715033541445,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T00:00:00+00:00,2026-01-02T03:00:00+03:00,2026-01,,2917.1489664414216,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T01:00:00+00:00,2026-01-02T04:00:00+03:00,2026-01,,2917.1264295287006,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T02:00:00+00:00,2026-01-02T05:00:00+03:00,2026-01,,2917.1038926159795,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T03:00:00+00:00,2026-01-02T06:00:00+03:00,2026-01,,2917.0813557032557,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T04:00:00+00:00,2026-01-02T07:00:00+03:00,2026-01,,2917.0588187905287,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T05:00:00+00:00,2026-01-02T08:00:00+03:00,2026-01,,2917.0362818777967,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T06:00:00+00:00,2026-01-02T09:00:00+03:00,2026-01,,2917.013744965059,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T07:00:00+00:00,2026-01-02T10:00:00+03:00,2026-01,,2916.9912080523136,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T08:00:00+00:00,2026-01-02T11:00:00+03:00,2026-01,,2916.968671139562,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T09:00:00+00:00,2026-01-02T12:00:00+03:00,2026-01,,2916.9461342268037,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T10:00:00+00:00,2026-01-02T13:00:00+03:00,2026-01,,2916.9235973140403,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T11:00:00+00:00,2026-01-02T14:00:00+03:00,2026-01,,2916.901060401273,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T12:00:00+00:00,2026-01-02T15:00:00+03:00,2026-01,,2916.8785234885017,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T13:00:00+00:00,2026-01-02T16:00:00+03:00,2026-01,,2916.8559865757275,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T14:00:00+00:00,2026-01-02T17:00:00+03:00,2026-01,,2916.8334496629514,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T15:00:00+00:00,2026-01-02T18:00:00+03:00,2026-01,,2916.810912750173,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T16:00:00+00:00,2026-01-02T19:00:00+03:00,2026-01,,2916.7883758373932,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T17:00:00+00:00,2026-01-02T20:00:00+03:00,2026-01,,2916.7658389246117,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T18:00:00+00:00,2026-01-02T21:00:00+03:00,2026-01,,2916.743302011829,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T19:00:00+00:00,2026-01-02T22:00:00+03:00,2026-01,,2916.720765099045,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T20:00:00+00:00,2026-01-02T23:00:00+03:00,2026-01,,2916.6982281862583,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T21:00:00+00:00,2026-01-03T00:00:00+03:00,2026-01,,2916.67569127347,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T22:00:00+00:00,2026-01-03T01:00:00+03:00,2026-01,,2916.65315436068,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-02T23:00:00+00:00,2026-01-03T02:00:00+03:00,2026-01,,2916.6306174478896,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T00:00:00+00:00,2026-01-03T03:00:00+03:00,2026-01,,2916.608080535099,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T01:00:00+00:00,2026-01-03T04:00:00+03:00,2026-01,,2916.58554362231,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T02:00:00+00:00,2026-01-03T05:00:00+03:00,2026-01,,2916.563006709526,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T03:00:00+00:00,2026-01-03T06:00:00+03:00,2026-01,,2916.540469796745,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T04:00:00+00:00,2026-01-03T07:00:00+03:00,2026-01,,2916.5179328839663,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T05:00:00+00:00,2026-01-03T08:00:00+03:00,2026-01,,2916.495395971189,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T06:00:00+00:00,2026-01-03T09:00:00+03:00,2026-01,,2916.4728590584114,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T07:00:00+00:00,2026-01-03T10:00:00+03:00,2026-01,,2916.4503221456334,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T08:00:00+00:00,2026-01-03T11:00:00+03:00,2026-01,,2916.4277852328564,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T09:00:00+00:00,2026-01-03T12:00:00+03:00,2026-01,,2916.4052483200794,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T10:00:00+00:00,2026-01-03T13:00:00+03:00,2026-01,,2916.3827114073015,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T11:00:00+00:00,2026-01-03T14:00:00+03:00,2026-01,,2916.360174494523,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T12:00:00+00:00,2026-01-03T15:00:00+03:00,2026-01,,2916.337637581744,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T13:00:00+00:00,2026-01-03T16:00:00+03:00,2026-01,,2916.315100668963,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T14:00:00+00:00,2026-01-03T17:00:00+03:00,2026-01,,2916.2925637561816,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T15:00:00+00:00,2026-01-03T18:00:00+03:00,2026-01,,2916.2700268434,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T16:00:00+00:00,2026-01-03T19:00:00+03:00,2026-01,,2916.2474899306185,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T17:00:00+00:00,2026-01-03T20:00:00+03:00,2026-01,,2916.2249530178365,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T18:00:00+00:00,2026-01-03T21:00:00+03:00,2026-01,,2916.2024161050554,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T19:00:00+00:00,2026-01-03T22:00:00+03:00,2026-01,,2916.179879192275,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T20:00:00+00:00,2026-01-03T23:00:00+03:00,2026-01,,2916.1573422794963,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T21:00:00+00:00,2026-01-04T00:00:00+03:00,2026-01,,2916.13480536672,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T22:00:00+00:00,2026-01-04T01:00:00+03:00,2026-01,,2916.1122684539473,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-03T23:00:00+00:00,2026-01-04T02:00:00+03:00,2026-01,,2916.0897315411776,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T00:00:00+00:00,2026-01-04T03:00:00+03:00,2026-01,,2916.0671946284087,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T01:00:00+00:00,2026-01-04T04:00:00+03:00,2026-01,,2916.04465771564,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T02:00:00+00:00,2026-01-04T05:00:00+03:00,2026-01,,2916.0221208028715,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T03:00:00+00:00,2026-01-04T06:00:00+03:00,2026-01,,2915.9995838901045,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T04:00:00+00:00,2026-01-04T07:00:00+03:00,2026-01,,2915.977046977337,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T05:00:00+00:00,2026-01-04T08:00:00+03:00,2026-01,,2915.9545100645687,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T06:00:00+00:00,2026-01-04T09:00:00+03:00,2026-01,,2915.931973151799,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T07:00:00+00:00,2026-01-04T10:00:00+03:00,2026-01,,2915.909436239028,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T08:00:00+00:00,2026-01-04T11:00:00+03:00,2026-01,,2915.8868993262563,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T09:00:00+00:00,2026-01-04T12:00:00+03:00,2026-01,,2915.864362413483,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T10:00:00+00:00,2026-01-04T13:00:00+03:00,2026-01,,2915.841825500707,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T11:00:00+00:00,2026-01-04T14:00:00+03:00,2026-01,,2915.8192885879266,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T12:00:00+00:00,2026-01-04T15:00:00+03:00,2026-01,,2915.796751675142,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T13:00:00+00:00,2026-01-04T16:00:00+03:00,2026-01,,2915.7742147623503,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T14:00:00+00:00,2026-01-04T17:00:00+03:00,2026-01,,2915.7516778495506,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T15:00:00+00:00,2026-01-04T18:00:00+03:00,2026-01,,2915.7291409367435,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T16:00:00+00:00,2026-01-04T19:00:00+03:00,2026-01,,2915.7066040239292,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T17:00:00+00:00,2026-01-04T20:00:00+03:00,2026-01,,2915.6840671111095,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T18:00:00+00:00,2026-01-04T21:00:00+03:00,2026-01,,2915.661530198286,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T19:00:00+00:00,2026-01-04T22:00:00+03:00,2026-01,,2915.638993285461,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T20:00:00+00:00,2026-01-04T23:00:00+03:00,2026-01,,2915.6164563726347,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T21:00:00+00:00,2026-01-05T00:00:00+03:00,2026-01,,2915.5939194598104,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T22:00:00+00:00,2026-01-05T01:00:00+03:00,2026-01,,2915.5713825469893,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-04T23:00:00+00:00,2026-01-05T02:00:00+03:00,2026-01,,2915.5488456341727,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-05T00:00:00+00:00,2026-01-05T03:00:00+03:00,2026-01,,2915.5263087213616,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-05T01:00:00+00:00,2026-01-05T04:00:00+03:00,2026-01,,2915.503771808555,near_term_anchor:spot_to_next_linear,True,True,True
2026-01-05T02:00:00+00:00,2026-01-05T05:00:00+03:00,2026-01,,2915.4812348957526,near_term_anchor:spot_to_next_linear,True,True,True
