maturity_h,r_annual,discount_factor_exp_-r_tau,F_T_TRY_MWh,residual_sd_T_TRY_MWh,call_TRY_MWh,call_delta_vs_baseline_TRY,call_delta_vs_baseline_pct,baseline_r0.40_call
24,0.15,0.9995891255279344,2917.2391,1038.1586,368.4214,0.2523,0.069,368.1691
24,0.25,0.9993153030051906,2917.2391,1038.1586,368.3205,0.1514,0.041,368.1691
24,0.3,0.9991784198737006,2917.2391,1038.1586,368.27,0.1009,0.027,368.1691
24,0.4,0.9989047098576412,2917.2391,1038.1586,368.1691,0.0,0.0,368.1691
24,0.5,0.998631074820356,2917.2391,1038.1586,368.0682,-0.1009,-0.027,368.1691
24,0.6,0.9983575147413052,2917.2391,1038.1586,367.9674,-0.2017,-0.055,368.1691
72,0.15,0.9987678829679357,2916.1573,1838.2959,688.4542,1.4132,0.206,687.041
72,0.25,0.9979473151245032,2916.1573,1838.2959,687.8886,0.8476,0.123,687.041
72,0.3,0.997537284048252,2916.1573,1838.2959,687.6059,0.5649,0.082,687.041
72,0.4,0.9967177272404354,2916.1573,1838.2959,687.041,0.0,0.0,687.041
72,0.5,0.9958988437642043,2916.1573,1838.2959,686.4765,-0.5645,-0.082,687.041
72,0.6,0.9950806330663632,2916.1573,1838.2959,685.9125,-1.1285,-0.164,687.041
336,0.15,0.9942630945941704,2910.2076,3998.6075,1540.4838,14.7012,0.964,1525.7826
336,0.25,0.9904567871586957,2910.2076,3998.6075,1534.5864,8.8038,0.577,1525.7826
336,0.3,0.9885591012719763,2910.2076,3998.6075,1531.6462,5.8636,0.384,1525.7826
336,0.4,0.9847746302622044,2910.2076,3998.6075,1525.7826,0.0,0.0,1525.7826
336,0.5,0.9810046472287257,2910.2076,3998.6075,1519.9415,-5.8411,-0.383,1525.7826
336,0.6,0.9772490967076576,2910.2076,3998.6075,1514.1228,-11.6598,-0.764,1525.7826
