maturity_h,model,F_T_TRY_MWh,residual_sd_T_TRY_MWh,V_regime0_TRY_MWh,V_regime1_TRY_MWh,call_TRY_MWh
24,"pooled_M0_kappa (pooled sigma, M0 kappa)",2917.2391,1919.0053,724.0903,724.1022,724.0911
24,"pooled_M9_kappa (pooled sigma, M9 kappa)",2917.2391,987.3023,353.487,353.4878,353.4871
24,"M9_prod (2-regime TVTP, production)",2917.2391,524.08,163.8015,165.6321,163.9261
72,"pooled_M0_kappa (pooled sigma, M0 kappa)",2916.1573,3259.3072,1254.6465,1254.6529,1254.6469
72,"pooled_M9_kappa (pooled sigma, M9 kappa)",2916.1573,998.5985,356.6911,356.6911,356.6911
72,"M9_prod (2-regime TVTP, production)",2916.1573,532.257,166.7476,166.7486,166.7477
168,"pooled_M0_kappa (pooled sigma, M0 kappa)",2913.9938,4790.8876,1854.3027,1854.3064,1854.3029
168,"pooled_M9_kappa (pooled sigma, M9 kappa)",2913.9938,997.8708,353.8444,353.8444,353.8444
168,"M9_prod (2-regime TVTP, production)",2913.9938,531.8703,164.9494,164.9494,164.9494
336,"pooled_M0_kappa (pooled sigma, M0 kappa)",2910.2076,6349.8263,2450.6962,2450.6983,2450.6964
336,"pooled_M9_kappa (pooled sigma, M9 kappa)",2910.2076,996.5864,348.9053,348.9053,348.9053
336,"M9_prod (2-regime TVTP, production)",2910.2076,531.1857,161.8446,161.8446,161.8446
