strike_TRY_MWh,maturity_h,F_T_TRY_MWh,call_TRY_MWh,put_TRY_MWh,put_call_LHS_c_minus_p,put_call_RHS_disc_F_minus_K,put_call_parity_error_TRY,residual_sd_T_TRY_MWh
2000,24,2917.2391,927.108,10.8735,916.2345,916.2345,0.0,524.08
2200,24,2917.2391,739.4005,22.947,716.4535,716.4535,0.0,524.08
2400,24,2917.2391,562.2245,45.5519,516.6726,516.6726,0.0,524.08
2600,24,2917.2391,402.0241,85.1324,316.8916,316.8916,0.0,524.08
2800,24,2917.2391,266.7791,149.6684,117.1107,117.1107,0.0,524.08
3000,24,2917.2391,163.9261,246.5963,-82.6702,-82.6702,-0.0,524.08
3200,24,2917.2391,94.247,376.6982,-282.4512,-282.4512,-0.0,524.08
3400,24,2917.2391,50.9548,533.1869,-482.2321,-482.2321,-0.0,524.08
3600,24,2917.2391,25.9379,707.951,-682.0131,-682.0131,-0.0,524.08
3800,24,2917.2391,12.4222,894.2162,-881.794,-881.794,-0.0,524.08
4000,24,2917.2391,5.5895,1087.1644,-1081.5749,-1081.5749,-0.0,524.08
2000,48,2916.6982,926.223,11.5318,914.6912,914.6912,0.0,532.166
2200,48,2916.6982,739.2302,24.1011,715.1291,715.1291,0.0,532.166
2400,48,2916.6982,562.9866,47.4196,515.567,515.567,0.0,532.166
2600,48,2916.6982,403.8967,87.8919,316.0049,316.0049,0.0,532.166
2800,48,2916.6982,269.6805,153.2378,116.4427,116.4427,0.0,532.166
3000,48,2916.6982,167.1169,250.2363,-83.1194,-83.1194,-0.0,532.166
3200,48,2916.6982,96.8619,379.5434,-282.6815,-282.6815,-0.0,532.166
3400,48,2916.6982,52.7859,535.0295,-482.2436,-482.2436,-0.0,532.166
3600,48,2916.6982,27.0963,708.9021,-681.8058,-681.8058,-0.0,532.166
3800,48,2916.6982,13.0974,894.4653,-881.3679,-881.3679,-0.0,532.166
4000,48,2916.6982,5.9536,1086.8837,-1080.93,-1080.93,-1e-06,532.166
2000,72,2916.1573,924.6992,11.5489,913.1503,913.1503,0.0,532.257
2200,72,2916.1573,737.9389,24.1321,713.8067,713.8067,0.0,532.257
2400,72,2916.1573,561.9341,47.4709,514.4632,514.4632,0.0,532.257
2600,72,2916.1573,403.0869,87.9672,315.1196,315.1196,0.0,532.257
2800,72,2916.1573,269.1083,153.3322,115.7761,115.7761,0.0,532.257
3000,72,2916.1573,166.7477,250.3152,-83.5675,-83.5675,-0.0,532.257
3200,72,2916.1573,96.6394,379.5504,-282.911,-282.911,-0.0,532.257
3400,72,2916.1573,52.6593,534.9138,-482.2546,-482.2546,-0.0,532.257
3600,72,2916.1573,27.0282,708.6263,-681.5981,-681.5981,-0.0,532.257
3800,72,2916.1573,13.0628,894.0044,-880.9416,-880.9416,-0.0,532.257
4000,72,2916.1573,5.9373,1086.2225,-1080.2852,-1080.2852,-1e-06,532.257
2000,168,2913.9938,918.5653,11.5561,907.0092,907.0092,0.0,531.8703
2200,168,2913.9938,732.6864,24.1488,708.5375,708.5375,0.0,531.8703
2400,168,2913.9938,557.5695,47.5035,510.0659,510.0659,0.0,531.8703
2600,168,2913.9938,399.6105,88.0162,311.5943,311.5943,0.0,531.8703
2800,168,2913.9938,266.5076,153.3849,113.1227,113.1227,0.0,531.8703
3000,168,2913.9938,164.9494,250.2983,-85.349,-85.349,-0.0,531.8703
3200,168,2913.9938,95.4904,379.311,-283.8206,-283.8206,-0.0,531.8703
3400,168,2913.9938,51.9725,534.2647,-482.2922,-482.2922,-0.0,531.8703
3600,168,2913.9938,26.6427,707.4065,-680.7638,-680.7638,-0.0,531.8703
